num,M1,M2,mu,WHnu,WHmuL,BHmuL,BHmuR,BmuLmuR,sum
101850,2283.33183,1470.61834,292.75856,2.53449623e-09,-5.77288446e-10,1.09493426e-10,-2.1839915e-10,4.27275673e-11,1.89102963e-09
101856,3961.31383,1659.5123,291.575489,2.06103587e-09,-4.36506611e-10,5.47406175e-11,-1.09246942e-10,1.11498518e-11,1.58117279e-09
101870,3533.14977,1138.21003,266.293064,3.36534376e-09,-7.07248772e-10,7.08299593e-11,-1.41276325e-10,1.46413347e-11,2.60228995e-09
101884,4571.54921,1181.8525,280.363885,3.19394759e-09,-6.93868447e-10,5.57769887e-11,-1.11259968e-10,8.48177021e-12,2.45307793e-09
101892,2181.27174,1619.98136,274.114497,2.27325802e-09,-4.87444222e-10,1.05291027e-10,-2.10043688e-10,4.13228298e-11,1.72238396e-09
101928,2833.58299,1173.70776,286.935403,3.13138164e-09,-6.7779501e-10,8.6565799e-11,-1.72688833e-10,2.56746562e-11,2.39313825e-09
101934,3837.38706,1395.12054,294.763614,2.69367773e-09,-6.1844496e-10,6.79220741e-11,-1.35481978e-10,1.36636898e-11,2.02133655e-09
101952,4515.06517,1634.28239,298.230531,2.07279724e-09,-4.42950377e-10,4.82669501e-11,-9.63312056e-11,8.42308753e-12,1.5902057e-09
101958,4720.05533,1499.72006,249.111765,2.67535601e-09,-5.65638784e-10,5.38347026e-11,-1.07358845e-10,6.96280582e-12,2.06315589e-09
101964,2571.96822,1624.61285,292.401966,2.1338062e-09,-4.57776523e-10,8.51936548e-11,-1.70003216e-10,2.96959757e-11,1.62091609e-09
101972,3254.03371,1209.43598,280.085856,2.86079171e-09,-5.76646194e-10,6.6778623e-11,-1.33261291e-10,1.68982782e-11,2.23456112e-09
101978,3694.67994,1491.63357,291.586588,2.37701761e-09,-5.15141921e-10,6.27141679e-11,-1.25136926e-10,1.36806235e-11,1.81313355e-09
101982,3685.42852,1184.44716,290.153913,2.83872185e-09,-5.73330708e-10,5.81204679e-11,-1.15996953e-10,1.30483354e-11,2.22056299e-09
101984,3364.45635,1164.35659,284.779693,2.9289254e-09,-5.88957539e-10,6.41721296e-11,-1.28066603e-10,1.58546915e-11,2.29192808e-09
101986,1406.08855,1117.0383,287.852098,3.12751486e-09,-6.46765245e-10,1.51586974e-10,-3.02424527e-10,9.92250648e-11,2.42913712e-09
101990,1072.64678,1868.26088,250.687072,2.12325992e-09,-4.54814403e-10,2.09536563e-10,-4.17743342e-10,1.54636621e-10,1.61487536e-09
101992,4163.89671,1850.17457,271.498684,2.08859779e-09,-4.66544442e-10,6.08580608e-11,-1.21382155e-10,1.01664132e-11,1.57169566e-09
102008,1458.00568,1262.66925,295.244673,2.89259815e-09,-6.43484147e-10,1.61223356e-10,-3.21575033e-10,1.04159604e-10,2.19292193e-09
102014,4363.48384,1294.40037,271.4801,2.87227378e-09,-6.04147234e-10,5.5072532e-11,-1.09867402e-10,8.8598358e-12,2.22219151e-09
102032,4405.74322,1331.34155,289.370686,2.51222631e-09,-5.09498057e-10,4.7824268e-11,-9.54527852e-11,8.51631218e-12,1.96361605e-09
102042,1962.74385,1659.68495,288.926306,2.08211663e-09,-4.42077406e-10,1.07787845e-10,-2.15083604e-10,5.06126703e-11,1.58335613e-09
102044,2636.61438,1405.89261,297.697838,2.32614167e-09,-4.75847345e-10,7.67862844e-11,-1.53264251e-10,2.69802843e-11,1.80079665e-09
102058,1698.50557,1401.85565,254.929785,2.75924175e-09,-5.74805949e-10,1.37360203e-10,-2.73938935e-10,6.60895773e-11,2.11394664e-09
102082,4114.81681,1095.94623,277.464879,3.51231522e-09,-7.65341029e-10,6.38595481e-11,-1.27365585e-10,1.09906796e-11,2.69445884e-09
102084,4318.06465,1110.55254,279.57599,3.11709569e-09,-6.22858693e-10,5.1145082e-11,-1.02063826e-10,8.90251139e-12,2.45222076e-09
102092,1432.38125,1474.85132,263.451262,2.58762853e-09,-5.49473502e-10,1.59782256e-10,-3.18656781e-10,9.43265527e-11,1.97360705e-09
